model,availability,price,barcode
"PT25080-30","0","976.3500","6009515877262"
"PT25080AL","0","1248.2100","6009515877309"
"PT26060-30","142","1535.5000","6009515856427"
"PT26068-30AL","162","2097.7500","6009515856441"
"PT26080-30","170","1957.1500","6009515856434"
"PTD0530","370","743.8000","6009515867836"
"PTD0640","361","506.8000","6009515867829"
"PTD0640-1000","173","1822.9500","6009515870010"
"PTD0840","348","371.4000","6009515867812"
"PTD0840-500","116","1044.1000","6009515867928"
"PTD0850","197","355.6000","6009515867805"
"PTD1050","365","326.2500","6009515867799"
"PTD1050-500","166","1281.1500","6009515867911"
"PTDS203","304","3316.5500","6009515871123"
"PTFE12","99875","3.0500","6009515827861"
"PTFE12-5","31","15.3500","6009515824648"
"PTFE19","24389","5.1000","6009515860356"
"PU0425","3999","8.8500","6009515831769"
"PU0425T","5458","9.1000","6009515869588"
"PU0640","7390","8.8500","6009515829698"
"PU0640T","3000","7.6500","6009515869571"
"PU0805B","713","12.1500","6009515833473"
"PU0805BT","2492","12.5000","6009515833480"
"PU0805G","859","12.5000","6009515833466"
"PU0805O","1415","12.5000","6009515833459"
"PU0805R","0","12.5000","6009515833435"
"PU0805T","4442","12.5000","6009515833497"
"PU0805Y","480","12.5000","6009515833442"
"PU0860","-119","12.7000","6009515829704"
"PU1065","-431","17.2500","6009515829711"
"PU1280","3569","25.4500","6009515831776"
"PU1410B","6212","29.3500","6009515869564"
"QD5M-PRO","1275","189.0000","0799804421028"
"QD8M-PRO","1260","209.0000","799804421011"
"QDGR-2X10","70","174.4000","0799804421110"
"QDWH-2X10","74","290.6500","0799804421127"
"RAW 4ALL-05","219","75.3500","5906675028408"
"RAW 4ALL-05+3530","376","68.0300","5906675028934"
"RAW 4ALL-06","158","92.1900","5906675028903"
"RAW 4ALL-06+4540","133","74.7400","5906675028941"
"RAW 4ALL-06050-4560","104","113.7300","5906675383491"
"RAW 4ALL-08","73","142.7900","5906675028910"
"RAW 4ALL-08+5060","885","110.4600","5906675028958"
"RAW 4ALL-10","538","134.9700","5906675028927"
"RAW 4ALL-10+6060","273","104.5500","5906675028965"
"RAW 4ALL-12","220","102.6100","5906675159454"
"RAW 4ALL-12-80","327","72.9700","5906675159492"
"RAW 4ALL-14","331","108.3900","5906675159478"
"RAW 4ALL-14-100","312","118.6500","5906675159539"
"RAW AT-88","4","267.4200","5906675906102"
"RAW AT-88M","47","155.1600","5906675906201"
"RAW AT-88RAWL","22","320.8700","5906675906300"
"RAW DEAL 1","0","16637.6500",""
"RAW DEAL 2","0","9941.6600",""
"RAW ENM10","4577","22.0500",""
"RAW ENM16","0","48.3300",""
"RAW KFS","0","375.2000","5906675212166"
"RAW KT-12100","11","277.6900","5906675022321"
"RAW MP-S1-ND-01","70","125.4900","5906675217703"
"RAW MP-S1-ND-04","34","125.4900","5906675217734"
"RAW MP-S1-ND-05","131","125.4900","5906675217741"
"RAW MP-S1-ND-06","10","125.4900","5906675217758"
"RAW MP-S1-ND-08","99","125.4900","5906675217772"
"RAW MP-S1-NP4ALL-01","44","198.5700","5906675217796"
"RAW MP-S1-NPFF1-01","68","198.5700","5906675217819"
"RAW MP-S1-NPSC40","5","218.1000","5906675173283"
"RAW MP-S1-NPUNO-01","52","198.5700","5906675217857"
"RAW MP-S1-NPWW90CH","8","218.1000","5906675173382"
"RAW MP-S1-NPXPT-01","7","198.5700","5906675217871"
"RAW MP-S1-NU-01","172","125.4900","5906675217888"
"RAW MP-S1-NU-02","35","125.4900","5906675217895"
"RAW MP-S1-W4ALLP-01","302","40.6700","5906675218090"
"RAW MP-S1-WDRA-01","85","40.6700","5906675218106"
"RAW MP-S1-WFF1-01","101","40.6700","5906675218113"
"RAW MP-S1-WFX-01","34","40.6700","5906675218120"
"RAW MP-S1-WRBL-01","366","40.6700",""
"RAW MP-S1-WUNO-01","49","40.6700","5906675218168"
"RAW MZR-32-02-W","0","164.1200","5906675390994"
"RAW PSU-1A","1","171.0000",""
"RAW R-BLOWPUMP","31","262.2700","5906675102412"
"RAW R-BRUSH-M08-10","31","113.0000","5906675130897"
"RAW R-BRUSH-M08-M","39","155.4700","5906675249759"
"RAW R-BRUSH-M10-14","6","115.8500","5906675127446"
"RAW R-BRUSH-M10-M","49","164.6900","5906675249766"
"RAW R-BRUSH-M12-M","-3","173.9100","5906675249773"
"RAW R-BRUSH-M16-28","8","123.4500","5906675127453"
"RAW R-BRUSH-M16-M","62","183.1300","5906675249780"
"RAW R-BRUSH-M20-M","40","196.6100","5906675249797"
"RAW R-BRUSH-M24-M","8","210.8000","5906675249803"
"RAW R-BRUSH-M30-M","2","228.5300","5906675249810"
"RAW R-C1-4ALL06PLUS","109","533.2000","5906675435220"
"RAW R-C1-4ALL08PLUS","84","469.7500","5906675435237"
"RAW R-C1-4ALL10PLUS","132","448.2500","5906675441016"
"RAW R-C1-FX-N-05C030","-1","387.5400","5906675383996"
"RAW R-C1-FX-N-05L030","655","380.7600","5906675384009"
"RAW R-C1-FX-N-06C040","344","319.6900","5906675384016"
"RAW R-C1-FX-N-06C060","13","249.1300","5906675384030"
"RAW R-C1-FX-N-06L040","570","322.4100","5906675384023"
"RAW R-C1-FX-N-06L060","63","249.8100","5906675384047"
"RAW R-C1-FX-N-08C060","-46","346.1500","5906675439211"
"RAW R-C1-FX-N-08C080","269","325.8000","5906675439235"
"RAW R-C1-FX-N-08C100","380","291.8700","5906675439242"
"RAW R-CAS-V-08","44","25.5300","5906675280189"
"RAW R-CAS-V-10","1730","27.5400","5906675280196"
"RAW R-CAS-V-12","850","31.5400","5906675280202"
"RAW R-CAS-V-16","20","42.2400","5906675280219"
"RAW R-CAS-V-20","324","83.6600","5906675280226"
"RAW R-CAS-V-24","1","137.7900","5906675280233"
"RAW R-CAS-V-30","0","204.6100","5906675280240"
"RAW R-CFS-GUN","0","1371.4500","5906675239804"
"RAW R-CS-60080-WH","-4","256.3300","5906675389011"
"RAW R-CS-60100-WH","-10","299.7200","5906675389042"
"RAW R-CS-60120-WH","-14","373.6400","5906675389073"
"RAW R-CS-60140-WH","49","463.6000","5906675389097"
"RAW R-CS-60160-WH","3","595.3000","5906675422534"
"RAW R-CS-60180-WH","26","651.6300","5906675422541"
"RAW R-CS-60200-WH","9","730.7400","5906675422558"
"RAW R-CS-60240-WH","23","1703.9100","5906675422572"
"RAW R-CS-80080-CS-W","0","217.4900","5906675292946"
"RAW R-CS-80080-WH","2","242.2100","5906675077512"
"RAW R-CS-80080-WH-W","-1","245.4000","5906675230054"
"RAW R-CS-80100-CS-W","0","257.7000","5906675292953"
"RAW R-CS-80100-WH","82","289.8800","5906675077529"
"RAW R-CS-80100-WH-W","2","288.1000","5906675230061"
"RAW R-CS-80120-CS-W","18","302.7000","5906675292960"
"RAW R-CS-80120-WH","26","344.7000","5906675077536"
"RAW R-CS-80120-WH-W","0","334.9000","5906675230078"
"RAW R-CS-80140-CS-W","13","354.2600","5906675292977"
"RAW R-CS-80140-WH","9","391.1400","5906675077543"
"RAW R-CS-80140-WH-W","0","387.9000","5906675230085"
"RAW R-CS-80160-CS-W","7","412.3000","5906675292984"
"RAW R-CS-80160-WH","90","473.9000","5906675077550"
"RAW R-CS-80180-CS","3","521.1500","5906675392653"
"RAW R-CS-80180-CS-W","0","509.0000","5906675292991"
