parent,code,image,url,name,description,meta_description,meta_keyword,category_tree
"BC","BCB","","https://www.vermontsales.co.za/index.php?route=product/category&path=1904","Steel","Steel","Steel","Steel","Cutting/Sawing > Circular Saw Blades > Steel"
"BC","BCC","","https://www.vermontsales.co.za/index.php?route=product/category&path=2011","Aluminium","Aluminium","Aluminium","Aluminium","Cutting/Sawing > Circular Saw Blades > Aluminium"
"BC","BCD","","https://www.vermontsales.co.za/index.php?route=product/category&path=2528","Fibre Cement Boards","Fibre Cement Boards","Fibre Cement Boards","Fibre Cement Boards","Cutting/Sawing > Circular Saw Blades > Fibre Cement Boards"
"B","BD","","https://www.vermontsales.co.za/index.php?route=product/category&path=1329","Jigsaw Blades","Metal","Metal","Metal","Cutting/Sawing > Jigsaw Blades"
"BD","BDA","","https://www.vermontsales.co.za/index.php?route=product/category&path=1816","T-Shank","T-Shank","T-Shank","T-Shank","Cutting/Sawing > Jigsaw Blades > T-Shank"
"BDA","BDAA","","https://www.vermontsales.co.za/index.php?route=product/category&path=1817","Wood","Wood","Wood","Wood","Cutting/Sawing > Jigsaw Blades > T-Shank > Wood"
"BDA","BDAB","","https://www.vermontsales.co.za/index.php?route=product/category&path=1913","Metal","Metal","Metal","Metal","Cutting/Sawing > Jigsaw Blades > T-Shank > Metal"
"BDA","BDAC","","https://www.vermontsales.co.za/index.php?route=product/category&path=1995","Abrasives /Ceramics/Glass","Abrasives /Ceramics/Glass","Abrasives /Ceramics/Glass","Abrasives /Ceramics/Glass","Cutting/Sawing > Jigsaw Blades > T-Shank > Abrasives /Ceramics/Glass"
"BDA","BDAD","","https://www.vermontsales.co.za/index.php?route=product/category&path=2124","Sets","Sets","Sets","Sets","Cutting/Sawing > Jigsaw Blades > T-Shank > Sets"
"BDA","BDAE","","https://www.vermontsales.co.za/index.php?route=product/category&path=1996","Files/ Rasps","Files/ Rasps","Files/ Rasps","Files/ Rasps","Cutting/Sawing > Jigsaw Blades > T-Shank > Files/ Rasps"
